Titulo,Preco,Bairro,Cidade,Endereco,Metragem,Quartos,Banheiros,Vagas,Link
"Apartamento para comprar com 68 m², 2 quartos, 2 banheiros, 1 vaga em
Jardim Atlântico, Goiânia",R$ 450.000,Jardim Atlântico,Goiânia,Avenida Leblon,68 m²,2,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-jardim-atlantico-goiania-go-68m2-id-2853520525/?source=ranking%2Crp
"Apartamento para comprar com 144-318 m², 3 quartos, 3 banheiros, 2 vagas em
PLATZ 36 BY BRASAL",R$ 1.608.603,PLATZ 36 BY BRASAL,N/A,"Rua T 36, Setor Bueno, Goiânia",144 m²,3,3,2,https://www.zapimoveis.com.br/lancamentos/platz-36-by-brasal-id-2810033765/?development_unit_id=2810036544&source=ranking%2Crp
"Sobrado para comprar com 836 m², 5 quartos, 5 banheiros em
Residencial Aldeia do Vale, Goiânia",R$ 10.500.000,Residencial Aldeia do Vale,Goiânia,Avenida Floresta,836 m²,5,5,N/A,https://www.zapimoveis.com.br/imovel/venda-sobrados-5-quartos-com-churrasqueira-residencial-aldeia-do-vale-goiania-go-836m2-id-2673789318/?source=ranking%2Crp
"Apartamento para comprar com 79 m², 3 quartos, 2 banheiros, 2 vagas em
Aeroviário, Goiânia",R$ 650.000,Aeroviário,Goiânia,Avenida Industrial,79 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-aeroporto-goiania-go-79m2-id-2779270314/?source=ranking%2Crp
"Imóvel para comprar com 142 m², 3 quartos, 2 banheiros, 3 vagas em
Setor Garavelo, Goiânia",R$ 360.000,Setor Garavelo,Goiânia,Rua 4-B,142 m²,3,2,3,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-setor-garavelo-goiania-142m2-id-2865350975/?source=ranking%2Crp
"Apartamento para comprar com 89 m², 3 quartos, 3 banheiros, 2 vagas em
Parque Amazônia, Goiânia",R$ 650.000,Parque Amazônia,Goiânia,Avenida Feira de Santana,89 m²,3,3,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-parque-amazonia-goiania-89m2-id-2865305760/?source=ranking%2Crp
"Apartamento para comprar com 59 m², 2 quartos, 2 banheiros, 1 vaga em
Setor Negrão de Lima, Goiânia",R$ 315.000,Setor Negrão de Lima,Goiânia,Rua 410,59 m²,2,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-setor-negrao-de-lima-goiania-59m2-id-2865340073/?source=ranking%2Crp
"Apartamento para comprar com 90 m², 3 quartos, 4 banheiros, 2 vagas em
Jardim América, Goiânia",R$ 499.000,Jardim América,Goiânia,Rua C125,90 m²,3,4,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-jardim-america-goiania-90m2-id-2865526862/?source=ranking%2Crp
"Ponto comercial/Loja/Box para comprar com 37-244 m², 1 vaga em
METROPOLITAN GENEBRA",R$ 699.000,METROPOLITAN GENEBRA,N/A,"Rua 52, Jardim Goiás, Goiânia",47 m²,N/A,N/A,1,https://www.zapimoveis.com.br/lancamentos/metropolitan-genebra-id-2821041525/?development_unit_id=2821039869&source=ranking%2Crp
"Casa para comprar com 90 m², 2 quartos, 2 banheiros, 2 vagas em
Da Vitória, Goiânia",R$ 319.000,Da Vitória,Goiânia,Rua A1,90 m²,2,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-da-vitoria-goiania-90m2-id-2865311477/?source=ranking%2Crp
"Apartamento para comprar com 62 m², 2 quartos, 1 banheiro, 1 vaga em
Setor Bueno, Goiânia",R$ 420.000,Setor Bueno,Goiânia,Rua T 37,62 m²,2,1,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-setor-bueno-goiania-62m2-id-2865282671/?source=ranking%2Crp
"Casa de condomínio para comprar com 76 m², 3 quartos, 2 banheiros, 2 vagas em
Vila Jardim Pompéia, Goiânia",R$ 575.000,Vila Jardim Pompéia,Goiânia,Avenida Presidente Kennedy,76 m²,3,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-vila-jardim-pompeia-goiania-76m2-id-2865454267/?source=ranking%2Crp
"Apartamento para comprar com 64 m², 2 quartos, 1 banheiro em
Jardim América, Goiânia",R$ 220.000,Jardim América,Goiânia,Rua C136,64 m²,2,1,N/A,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-armario-embutido-jardim-america-goiania-64m2-id-2865559465/?source=ranking%2Crp
"Casa para comprar com 75 m², 2 quartos, 2 banheiros, 2 vagas em
Jardim Fonte Nova, Goiânia",R$ 330.000,Jardim Fonte Nova,Goiânia,Avenida Fonte Nova,75 m²,2,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-grande-jardim-fonte-nova-goiania-75m2-id-2865077086/?source=ranking%2Crp
"Apartamento para comprar com 60 m², 2 quartos, 2 banheiros, 1 vaga em
Aeroviário, Goiânia",R$ 430.000,Aeroviário,Goiânia,Avenida 24 de Outubro,60 m²,2,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-aeroviario-goiania-60m2-id-2863995288/?source=ranking%2Crp
"Apartamento para comprar com 65-97 m², 2 quartos, 2 banheiros, 1 vaga em
UPTOWN HOME",R$ 518.500,UPTOWN HOME,N/A,"Avenida dos Alpes, Jardim Europa, Goiânia",76 m²,3,2,2,https://www.zapimoveis.com.br/lancamentos/uptown-home-id-2809204721/?development_unit_id=2809204816&source=ranking%2Crp
"Apartamento para comprar com 57 m², 2 quartos, 2 banheiros, 1 vaga em
Setor Sudoeste, Goiânia",R$ 365.000,Setor Sudoeste,Goiânia,Rua C83,57 m²,2,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-setor-sudoeste-goiania-57m2-id-2865348462/?source=ranking%2Crp
